reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
ff0c98f1-8fbd-4585-971e-8711b2e49f9b,Maggie Nalwoga,https://play-lh.googleusercontent.com/a/ACg8ocL3dgKwd8h0H-8eIh-_ZZjCGH8xT74GE1nMJ_TRTeIctPDytQ=mo,it become my teacher,5,0,1.2026.013,2026-01-21 12:31:25,,,1.2026.013
ecaf382a-db32-491d-bd0e-dee1de667ed3,Ramen Rabidas,https://play-lh.googleusercontent.com/a-/ALV-UjXoL88fAzQUy8C2FlUqskRvVljHxyRTyGs2Vt4U-lhvQbRRI4kzfg,Nice,2,0,1.2026.013,2026-01-21 12:31:19,,,1.2026.013
888148a6-d706-448a-a40a-50b108c7e5f5,nsengiyumva aron,https://play-lh.googleusercontent.com/a/ACg8ocJUaln1s7pEONtDApf_KLKUiGGAX7XGnzgqxk-LzWbFG5n1iw=mo,it's very easy to use it,3,0,1.2026.013,2026-01-21 12:30:48,,,1.2026.013
877ab164-706b-4722-8394-f7dd19adc61e,Happiness Ifunanya,https://play-lh.googleusercontent.com/a/ACg8ocJrhCuqnSQQbtnB87HdL7ltcOl47aZbIxrrf7a9LlhAzVe7FA=mo,great friend I have here,3,0,1.2026.006,2026-01-21 12:30:26,,,1.2026.006
85c791c7-85d2-4d06-b820-76df3468defc,Divine Zogar,https://play-lh.googleusercontent.com/a/ACg8ocJ7m_vk4lttoBf_hzTV-tKOeaA9YZQ0SajgyD5pQEmuzC5M_g=mo,good,5,0,1.2026.013,2026-01-21 12:30:23,,,1.2026.013
e1b59c52-1fdb-4631-97bf-0ffd41a07f78,Allie Persaud,https://play-lh.googleusercontent.com/a-/ALV-UjXaDrd08OQ07x31ZuhyDtqJNt8Cggc0ceOuPeeXm4LF43O2zs6yjw,I love chatgpt,5,0,1.2026.006,2026-01-21 12:29:42,,,1.2026.006
dcc309ee-d007-4112-8f6f-65a9c6d41e5d,Sathish Kurella,https://play-lh.googleusercontent.com/a-/ALV-UjX7MmBCJwoo2mLLFw-lol3A_dDpDAS7bUocQJEEN4QzD-EzR75o,Least Accurate,1,0,1.2025.350,2026-01-21 12:28:17,,,1.2025.350
e78e5861-388b-4b01-ad2a-bd26a3610ab4,Zafar Sonu,https://play-lh.googleusercontent.com/a-/ALV-UjW7L5uRuOa7Kaq5YusigooOjeHk5g094yNKqGBr3kVweBPLas06,Very good 👍,5,0,,2026-01-21 12:28:02,,,
938b3004-5f6b-4544-a860-225066e585f2,VICTOR THE MESSENGER,https://play-lh.googleusercontent.com/a/ACg8ocLsp-ZbFG1tjBC0gQnZMs_nI0sinKv0_JP-entrDf-zrCy1kYM=mo,Amazing of its kind,5,0,1.2026.013,2026-01-21 12:27:44,,,1.2026.013
a48618e1-8af3-4ed4-9019-8eb4d1a3ab95,Joy Olatule,https://play-lh.googleusercontent.com/a/ACg8ocJfHN3BHRCVHIFFyyCiVtsp4KrUP-Lgfr8DZumYb9jlNYmaUw=mo,so nice,5,0,1.2026.006,2026-01-21 12:27:23,,,1.2026.006
